upper_biosample,upper_assembly_accession,upper_log2_mic,upper_mic_mg_L,match_rank,comparison_biosample,comparison_assembly_accession,comparison_log2_mic,comparison_mic_mg_L,delta_log2_mic_upper_minus_comparison,K_relatedness,K_derived_distance,eligible_distance_rank
SAMN16551975,GCA_014975045.1,3.0,8.0,3,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.0,0.7655979743601912,0.7270090070853759,3
SAMN22137298,GCA_020413065.1,3.0,8.0,1,SAMN50215317,GCA_052608845.1,-2.0,0.25,5.0,0.9172496177989798,0.4641577382755531,1
SAMN22137298,GCA_020413065.1,3.0,8.0,2,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.0,0.7694495232257734,0.7205717543847581,2
SAMN22137298,GCA_020413065.1,3.0,8.0,3,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.0,0.7651663833082859,0.7282896298976744,3
SAMN22137301,GCA_020413045.1,3.0,8.0,1,SAMN50215317,GCA_052608845.1,-2.0,0.25,5.0,0.9176812088508852,0.462145775018932,1
SAMN22137301,GCA_020413045.1,3.0,8.0,2,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.0,0.7698811142776787,0.7192773905691049,2
SAMN22137301,GCA_020413045.1,3.0,8.0,3,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.0,0.7655979743601912,0.7270090070853759,3
SAMN26304810,GCA_023867615.1,3.0,8.0,1,SAMN50215211,GCA_052599995.1,-3.0,0.125,6.0,0.9475127110212134,0.0273033963691507,1
SAMN26304810,GCA_023867615.1,3.0,8.0,2,SAMN50215589,GCA_052602015.1,-3.0,0.125,6.0,0.9469629674602638,0.0546067927383015,2
SAMN26304810,GCA_023867615.1,3.0,8.0,3,SAMN50215541,GCA_052606295.1,1.0,2.0,2.0,0.9467342420370948,0.0579192501661529,3
SAMN27923120,GCA_023164625.1,4.0,16.0,1,SAMN15052604,GCA_017982395.1,0.0,1.0,4.0,0.651710102104589,1.0087487267610844,1
SAMN27923120,GCA_023164625.1,4.0,16.0,2,SAMN50215310,GCA_052608705.1,-3.0,0.125,7.0,0.662305707014716,1.0122529380290146,2
SAMN27923120,GCA_023164625.1,4.0,16.0,3,SAMN04014908,GCA_003571785.1,2.0,4.0,2.0,0.6579996053832066,1.014092396093584,3
SAMN31087105,GCA_025833415.1,3.0,8.0,1,SAMN50215317,GCA_052608845.1,-2.0,0.25,5.0,0.7609688482275399,0.7272653120491238,1
SAMN31087105,GCA_025833415.1,3.0,8.0,2,SAMN50215237,GCA_052600555.1,-1.0,0.5,4.0,0.7504225106843918,0.7392114090449676,2
SAMN31087105,GCA_025833415.1,3.0,8.0,3,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.0,0.7462361220667633,0.752702693300018,3
SAMN31087153,GCA_025832455.1,4.0,16.0,1,SAMN50215561,GCA_052598055.1,2.0,4.0,2.0,0.7758732299203241,0.7067308919984453,1
SAMN31087153,GCA_025832455.1,4.0,16.0,2,SAMN48590748,GCA_050502675.1,2.0,4.0,2.0,0.7694486315087241,0.7205717543847578,2
SAMN31087153,GCA_025832455.1,4.0,16.0,3,SAMN50215317,GCA_052608845.1,-2.0,0.25,6.0,0.7614004392794451,0.7259828823578983,3
SAMN31087309,GCA_025829755.1,4.0,16.0,1,SAMN15052508,GCA_017001295.1,-2.0,0.25,6.0,0.953311992851928,0.3195780610443346,1
SAMN31087309,GCA_025829755.1,4.0,16.0,2,SAMN50215259,GCA_052603255.1,-3.0,0.125,7.0,0.6286824010211143,0.8855733605196412,2
SAMN31087309,GCA_025829755.1,4.0,16.0,3,SAMN50215177,GCA_052608265.1,-1.0,0.5,5.0,0.6240198354991109,0.8893533920448433,3
SAMN50215277,GCA_052606655.1,3.0,8.0,1,SAMN50215546,GCA_052606355.1,-3.0,0.125,6.0,0.9456280670373256,0.0334396946746874,1
SAMN50215277,GCA_052606655.1,3.0,8.0,2,SAMN50215391,GCA_052609125.1,-2.0,0.25,5.0,0.9456280670373256,0.0334396946746874,2
SAMN50215277,GCA_052606655.1,3.0,8.0,3,SAMN50215698,GCA_052602695.1,-2.0,0.25,5.0,0.9456280670373256,0.0334396946746874,3
SAMN50215560,GCA_052598015.1,3.0,8.0,1,SAMN50215181,GCA_052608385.1,-2.0,0.25,5.0,1.0917042496247964,0.0273033963691548,1
SAMN50215560,GCA_052598015.1,3.0,8.0,2,SAMN50215278,GCA_052606695.1,-2.0,0.25,5.0,0.5910352218421359,0.9929205844261892,2
SAMN50215560,GCA_052598015.1,3.0,8.0,3,SAMN50215843,GCA_052585405.1,-4.0,0.0625,7.0,0.5911881513161065,0.9931082643417536,3
SAMN50215641,GCA_052604935.1,5.0,32.0,1,SAMN50215546,GCA_052606355.1,-3.0,0.125,8.0,0.9456298504714244,0.0,1
SAMN50215641,GCA_052604935.1,5.0,32.0,2,SAMN50215391,GCA_052609125.1,-2.0,0.25,7.0,0.9456298504714244,0.0,2
SAMN50215641,GCA_052604935.1,5.0,32.0,3,SAMN50215698,GCA_052602695.1,-2.0,0.25,7.0,0.9456298504714244,0.0,3
SAMN50215664,GCA_052607425.1,6.0,64.0,1,SAMN50215546,GCA_052606355.1,-3.0,0.125,9.0,0.9456294046128996,0.0273033963691507,1
SAMN50215664,GCA_052607425.1,6.0,64.0,2,SAMN50215391,GCA_052609125.1,-2.0,0.25,8.0,0.9456294046128996,0.0273033963691507,2
SAMN50215664,GCA_052607425.1,6.0,64.0,3,SAMN50215698,GCA_052602695.1,-2.0,0.25,8.0,0.9456294046128996,0.0273033963691507,3
